Section,Title,Description,Example Queries,Keywords,LawType,Domain,Intent
RTI Exemptions,Information Not Disclosed Under RTI,Defines categories of information that government can legally refuse to disclose,"What information cannot be asked under RTI?;Can government deny RTI request?;Which data is confidential under RTI?;RTI rejection reasons India","RTI exemption rules India law;confidential government data RTI India;restricted information RTI Act India;RTI denial reasons India;national security RTI exemption India",Right to Information Act,Transparency Law,Restriction
Consumer Protection Act 2019 Section 2,Definitions,"Defines consumer, service, and unfair trade practices under consumer law","Who is a consumer in India?;What is consumer rights law?;Meaning of unfair trade practice?;What goods are covered under consumer law?","consumer definition India law;consumer rights meaning India;unfair trade practice India law;service definition consumer act India;basic consumer protection terms India",Consumer Protection Act,Consumer Rights,Definition
Consumer Complaint Filing,How to File Consumer Complaint,Explains process of filing complaint against seller or service provider for deficiency or fraud,"How to file consumer complaint in India?;Where to complain for defective product?;Can I sue online seller?;Consumer court filing process India","consumer complaint India process;consumer court filing online India;defective product complaint India law;online shopping dispute India consumer;consumer grievance procedure India",Consumer Protection Act,Consumer Rights,Remedy
Consumer Rights,Rights of Consumers,"Explains rights like refund, replacement, safety, and fair service","What are consumer rights in India?;Can I get refund for defective product?;Is seller responsible for bad service?;What protection do buyers have?","consumer rights India law refund replacement;seller liability consumer law India;product defect legal rights India;consumer protection guarantees India;service failure complaint India",Consumer Protection Act,Consumer Rights,Right
Unfair Trade Practice,False Advertising and Fraud,Deals with misleading advertisements and cheating consumers,"Is fake advertisement illegal in India?;Can company be punished for false claims?;What is unfair trade practice?;Misleading ads law India","false advertising India law consumer;misleading product claims India punishment;unfair trade practice definition India;consumer fraud advertising India;deceptive marketing law India",Consumer Protection Act,Consumer Protection,Penalty
Consumer Dispute Redressal Forum,Consumer Court System,Explains three-tier consumer court system for dispute resolution,"Where to file consumer case?;What is consumer court in India?;How does consumer forum work?;Can I appeal consumer court decision?","consumer court India system;district consumer forum India law;state commission consumer case India;consumer dispute resolution India;consumer appellate tribunal India",Consumer Protection Act,Dispute Resolution,Remedy
Prevention of Corruption Act 1988 Section 7,Public Servant Bribery,Criminalizes taking or giving bribes by public officials,"Is giving bribe illegal in India?;What happens if government officer asks for money?;Bribery punishment India law;Can I report corruption?","bribery law India public servant corruption;government officer bribe punishment India;anti corruption act India section 7;illegal payment to official India law;public corruption crime India",Prevention of Corruption Act,Anti Corruption,Penalty
Prevention of Corruption Act 1988 Section 13,Criminal Misconduct by Public Servants,"Defines abuse of power, embezzlement, and misuse of official position","What is corruption in government job?;Can officer misuse power?;What is criminal misconduct public servant India?;Punishment for corruption India","public servant misconduct India law;abuse of power government India corruption;embezzlement public funds India law;anti corruption punishment India act;official misuse authority India",Prevention of Corruption Act,Anti Corruption,Penalty
Prevention of Corruption Act Reporting,Reporting Corruption Cases,Explains how citizens can report corruption and initiate investigation,"How to report government corruption in India?;Where to complain about bribe demand?;Can I report officer anonymously?;Anti corruption complaint process India","corruption complaint India procedure;report bribe demand India law;anti corruption helpline India;citizen complaint government corruption India;Lokpal complaint process India",Prevention of Corruption Act,Anti Corruption,Remedy
Lokpal System,Anti Corruption Ombudsman,Explains Lokpal as central body for investigating corruption cases against public officials,"What is Lokpal in India?;How does Lokpal work?;Can Lokpal investigate ministers?;Anti corruption authority India system","Lokpal India corruption watchdog;anti corruption ombudsman India law;public office corruption investigation India;central vigilance system India Lokpal;government accountability corruption India",Prevention of Corruption Act,Anti Corruption,Accountability

